DCALENDARIO[ANO]	DCALENDARIO[NUMEROMES]	DCALENDARIO[NOMEMES]	DCALENDARIO[TRIMESTRE]	DCALENDARIO[TRI ANO]	DCALENDARIO[SEM]	VMQ_TSIEMP[RAZAOABREV]	VMQ_TSICUS[CODCENCUS]	VMQ_TSICUS[DESCRCENCUS]	VMQ_CADDRE[BLOCO]	VMQ_CADDRE[TITULO]	VMQ_TGFNAT[DESCRNAT]	[ORCADO]	[REALIZADO]	[VB_ORCADO]	[VB_REALIZADO]
2024	11	nov	T4	T4-2024	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-13275		7643263	956761,4572
2024	12	dez	T4	T4-2024	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-109		6011955	1242067,84
2024	11	nov	T4	T4-2024	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-170		7643263	956761,4572
2024	9	set	T3	T3-2024	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-152		6793771	708584,88
2024	10	out	T4	T4-2024	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-152		7487771	825631,242
2024	12	dez	T4	T4-2024	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-2970		6011955	1242067,84
2024	8	ago	T3	T3-2024	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-134		6054278	737784,3344
2024	9	set	T3	T3-2024	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-4		6793771	708584,88
2024	11	nov	T4	T4-2024	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-7		7643263	956761,4572
2024	10	out	T4	T4-2024	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-13275		7487771	825631,242
2024	12	dez	T4	T4-2024	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-4		6011955	1242067,84
2026	1	jan	T1	T1-2026	1º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-9695,1		5500885,79	510404,9322
2026	2	fev	T1	T1-2026	1º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-4613,25		4981218,61	623737,974
2026	3	mar	T1	T1-2026	1º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5692,16		5710891,34	1414588,122
2026	4	abr	T2	T2-2026	1º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5692,16		6299522,52	961293,4252
2026	5	mai	T2	T2-2026	1º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5692,16		7535712,28	1832348,5392
2026	6	jun	T2	T2-2026	1º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5692,16		6768805,86	1369494,069
2026	7	jul	T3	T3-2026	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5692,16		6840423,05	1469612,6872
2026	8	ago	T3	T3-2026	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5692,16		7293908,34	1324472,974
2026	9	set	T3	T3-2026	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5692,16		7397306,85	325992,65
2026	10	out	T4	T4-2026	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5692,16		8893735,76	0
2026	11	nov	T4	T4-2026	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5692,16		9596091,35	0
2026	12	dez	T4	T4-2026	2º Sem.	Consolidação	3010000	ASSISTENCIA TECNICA	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-5692,16		6867831,05	0
2026	1	jan	T1	T1-2026	1º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-961,63		5500885,79	510404,9322
2026	1	jan	T1	T1-2026	1º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-241,46		5500885,79	510404,9322
2026	1	jan	T1	T1-2026	1º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-167,24		5500885,79	510404,9322
2026	1	jan	T1	T1-2026	1º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1048,22		5500885,79	510404,9322
2026	2	fev	T1	T1-2026	1º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-756,15		4981218,61	623737,974
2026	2	fev	T1	T1-2026	1º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-187,61		4981218,61	623737,974
2026	2	fev	T1	T1-2026	1º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-143,32		4981218,61	623737,974
2026	2	fev	T1	T1-2026	1º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-819,42		4981218,61	623737,974
2026	3	mar	T1	T1-2026	1º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-961,63		5710891,34	1414588,122
2026	3	mar	T1	T1-2026	1º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-223,6		5710891,34	1414588,122
2026	3	mar	T1	T1-2026	1º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-167,24		5710891,34	1414588,122
2026	3	mar	T1	T1-2026	1º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-902,77		5710891,34	1414588,122
2026	4	abr	T2	T2-2026	1º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1425,19		6299522,52	961293,4252
2026	4	abr	T2	T2-2026	1º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-239,04		6299522,52	961293,4252
2026	4	abr	T2	T2-2026	1º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-182,61		6299522,52	961293,4252
2026	4	abr	T2	T2-2026	1º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1166,3		6299522,52	961293,4252
2026	5	mai	T2	T2-2026	1º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1151,32		7535712,28	1832348,5392
2026	5	mai	T2	T2-2026	1º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-272,05		7535712,28	1832348,5392
2026	5	mai	T2	T2-2026	1º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-222,44		7535712,28	1832348,5392
2026	5	mai	T2	T2-2026	1º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1455,99		7535712,28	1832348,5392
2026	6	jun	T2	T2-2026	1º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-950,55		6768805,86	1369494,069
2026	6	jun	T2	T2-2026	1º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-255,04		6768805,86	1369494,069
2026	6	jun	T2	T2-2026	1º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-187,25		6768805,86	1369494,069
2026	6	jun	T2	T2-2026	1º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1166,3		6768805,86	1369494,069
2026	7	jul	T3	T3-2026	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1091,65		6840423,05	1469612,6872
2026	7	jul	T3	T3-2026	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-272,05		6840423,05	1469612,6872
2026	7	jul	T3	T3-2026	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-187,25		6840423,05	1469612,6872
2026	7	jul	T3	T3-2026	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1166,3		6840423,05	1469612,6872
2026	8	ago	T3	T3-2026	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-926,71		7293908,34	1324472,974
2026	8	ago	T3	T3-2026	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-267,87		7293908,34	1324472,974
2026	8	ago	T3	T3-2026	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-182		7293908,34	1324472,974
2026	8	ago	T3	T3-2026	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1232,91		7293908,34	1324472,974
2026	9	set	T3	T3-2026	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1048,93		7397306,85	325992,65
2026	9	set	T3	T3-2026	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-302,33		7397306,85	325992,65
2026	9	set	T3	T3-2026	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-195,15		7397306,85	325992,65
2026	9	set	T3	T3-2026	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1206,6		7397306,85	325992,65
2026	10	out	T4	T4-2026	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-17371,63		8893735,76	0
2026	10	out	T4	T4-2026	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1621,12		8893735,76	0
2026	10	out	T4	T4-2026	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-398,05		8893735,76	0
2026	10	out	T4	T4-2026	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-231,09		8893735,76	0
2026	10	out	T4	T4-2026	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1526,76		8893735,76	0
2026	11	nov	T4	T4-2026	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-15748,88		9596091,35	0
2026	11	nov	T4	T4-2026	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1358,94		9596091,35	0
2026	11	nov	T4	T4-2026	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-398,05		9596091,35	0
2026	11	nov	T4	T4-2026	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-231,09		9596091,35	0
2026	11	nov	T4	T4-2026	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1377,75		9596091,35	0
2026	12	dez	T4	T4-2026	2º Sem.	Consolidação	1020000	DISTRIBUICAO	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-12361,92		6867831,05	0
2026	12	dez	T4	T4-2026	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1097,7		6867831,05	0
2026	12	dez	T4	T4-2026	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-315,7		6867831,05	0
2026	12	dez	T4	T4-2026	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-197,87		6867831,05	0
2026	12	dez	T4	T4-2026	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-997,48		6867831,05	0
2025	1	jan	T1	T1-2025	1º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-57,41		4606991,6	347022,6412
2025	2	fev	T1	T1-2025	1º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-52,86		4216864,06	780104,6938
2025	3	mar	T1	T1-2025	1º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-47,63		4570963,88	434614,6343
2025	4	abr	T2	T2-2025	1º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-52,17		5045713,85	912934,6725
2025	5	mai	T2	T2-2025	1º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-56,71		5512279,65	1011721,2897
2025	6	jun	T2	T2-2025	1º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-56,71		5644016,74	550459,4085
2025	7	jul	T3	T3-2025	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-58,22		5742667,37	645965,0182
2025	8	ago	T3	T3-2025	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-68,05		6555235,34	885220,303
2025	9	set	T3	T3-2025	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-81,17		6738690,72	899181,5971
2025	10	out	T4	T4-2025	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-90,73		7955451,09	1271825,2364
2025	11	nov	T4	T4-2025	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-88,95		8546417,28	1535126,1796
2025	12	dez	T4	T4-2025	2º Sem.	Consolidação	1050000	COMERCIO EXTERIOR	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-64,27		6411959,51	878426,4368
2025	1	jan	T1	T1-2025	1º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-922,37		4606991,6	347022,6412
2025	2	fev	T1	T1-2025	1º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-849,17		4216864,06	780104,6938
2025	3	mar	T1	T1-2025	1º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-922,37		4570963,88	434614,6343
2025	4	abr	T2	T2-2025	1º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1010,22		5045713,85	912934,6725
2025	5	mai	T2	T2-2025	1º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1098,06		5512279,65	1011721,2897
2025	6	jun	T2	T2-2025	1º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1098,06		5644016,74	550459,4085
2025	7	jul	T3	T3-2025	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1127,35		5742667,37	645965,0182
2025	8	ago	T3	T3-2025	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1317,68		6555235,34	885220,303
2025	9	set	T3	T3-2025	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1464,08		6738690,72	899181,5971
2025	10	out	T4	T4-2025	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1756,9		7955451,09	1271825,2364
2025	11	nov	T4	T4-2025	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1756,9		8546417,28	1535126,1796
2025	12	dez	T4	T4-2025	2º Sem.	Consolidação	1010300	VAREJO - ND	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-1317,68		6411959,51	878426,4368
2025	1	jan	T1	T1-2025	1º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-267,1		4606991,6	347022,6412
2025	2	fev	T1	T1-2025	1º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-245,9		4216864,06	780104,6938
2025	3	mar	T1	T1-2025	1º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-267,1		4570963,88	434614,6343
2025	4	abr	T2	T2-2025	1º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-292,53		5045713,85	912934,6725
2025	5	mai	T2	T2-2025	1º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-317,97		5512279,65	1011721,2897
2025	6	jun	T2	T2-2025	1º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-317,97		5644016,74	550459,4085
2025	7	jul	T3	T3-2025	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-326,45		5742667,37	645965,0182
2025	8	ago	T3	T3-2025	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-381,57		6555235,34	885220,303
2025	9	set	T3	T3-2025	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-423,96		6738690,72	899181,5971
2025	10	out	T4	T4-2025	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-508,75		7955451,09	1271825,2364
2025	11	nov	T4	T4-2025	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-508,75		8546417,28	1535126,1796
2025	12	dez	T4	T4-2025	2º Sem.	Consolidação	1010200	VAREJO - RJ	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-381,57		6411959,51	878426,4368
2025	1	jan	T1	T1-2025	1º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-231,25		4606991,6	347022,6412
2025	2	fev	T1	T1-2025	1º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-212,89		4216864,06	780104,6938
2025	3	mar	T1	T1-2025	1º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-231,25		4570963,88	434614,6343
2025	4	abr	T2	T2-2025	1º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-253,27		5045713,85	912934,6725
2025	5	mai	T2	T2-2025	1º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-275,29		5512279,65	1011721,2897
2025	6	jun	T2	T2-2025	1º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-275,29		5644016,74	550459,4085
2025	7	jul	T3	T3-2025	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-282,64		5742667,37	645965,0182
2025	8	ago	T3	T3-2025	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-330,35		6555235,34	885220,303
2025	9	set	T3	T3-2025	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-367,06		6738690,72	899181,5971
2025	10	out	T4	T4-2025	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-440,47		7955451,09	1271825,2364
2025	11	nov	T4	T4-2025	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-440,47		8546417,28	1535126,1796
2025	12	dez	T4	T4-2025	2º Sem.	Consolidação	1010100	VAREJO - SP	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-330,35		6411959,51	878426,4368
2025	1	jan	T1	T1-2025	1º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-637,57		4606991,6	347022,6412
2025	2	fev	T1	T1-2025	1º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-13,44		4216864,06	780104,6938
2025	3	mar	T1	T1-2025	1º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-14,6		4570963,88	434614,6343
2025	4	abr	T2	T2-2025	1º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-15,99		5045713,85	912934,6725
2025	5	mai	T2	T2-2025	1º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-17,38		5512279,65	1011721,2897
2025	6	jun	T2	T2-2025	1º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-17,38		5644016,74	550459,4085
2025	7	jul	T3	T3-2025	2º Sem.	Consolidação	1010400	VAREJO - SUL	3.Despesas com Vendas	3.Impostos s/ bonificações	BONIF DE PROD SOBRE VENDA	-17,84		5742667,37	645965,0182
